fold,iso,a,b,c,lat,lng,training_count
0,PL,78,109,173,53.54462529236843,20.46219089984242,58
0,PL,78,116,174,53.26422251234895,19.0331779392238,32
0,PL,79,112,166,52.45414469394668,21.217058057205886,41
0,PL,79,112,168,51.312087000000005,20.988604000000002,1
0,PL,79,112,175,51.961944469438784,20.340995098270554,20
0,PL,79,112,176,51.64977547260644,21.2088652861105,13
0,PL,79,115,175,51.85437878869095,19.337562822232705,16
0,PL,79,119,168,51.1785675253449,20.529804498183235,5
0,PL,79,119,175,51.33454900000001,19.996041000000005,1
0,SE,80,121,185,57.41179930483656,18.296026597215377,50
0,SE,80,121,187,57.03525873757481,16.339732330290108,3
